Student_ID,Gender,Semester,CGPA,Programming,DSA,DBMS,OS,CN,OOP,Python,Java,SQL,Web_Development,Cloud,AI_ML,Communication,Aptitude,Teamwork,Problem_Solving,Internship,Certifications,Projects_Completed,Placement_Status,Industry_Readiness
S051,Female,8,9.78,7,10,9,4,4,6,9,10,6,9,8,10,9,9,4,8,No,2,6,Not Placed,Not Ready
S052,Female,7,9.62,10,4,4,4,4,9,4,8,5,3,8,4,9,8,9,3,No,4,3,Not Placed,Not Ready
S053,Male,7,8.2,6,5,10,6,4,8,8,4,7,6,9,3,7,3,5,7,No,2,3,Not Placed,Not Ready
S054,Male,7,9.31,9,4,5,3,4,6,9,9,10,8,5,8,7,8,4,3,Yes,1,5,Not Placed,Not Ready
S055,Male,7,7.03,9,10,10,9,7,6,4,8,9,4,7,10,7,3,6,9,Yes,0,2,Placed,Ready
S056,Female,8,8.9,7,8,4,3,10,9,5,5,9,6,8,4,9,3,9,3,No,0,3,Not Placed,Not Ready
S057,Female,7,8.7,9,7,4,9,3,8,5,10,8,4,9,4,6,9,9,4,No,2,6,Not Placed,Not Ready
S058,Female,8,7.27,5,4,4,6,8,8,5,6,4,5,7,6,5,5,4,5,No,3,5,Not Placed,Not Ready
S059,Male,8,9.28,8,5,10,4,10,10,7,7,3,8,4,7,10,10,3,3,No,2,1,Not Placed,Not Ready
S060,Female,8,7.76,3,10,6,8,10,5,3,10,4,8,4,5,3,6,10,10,Yes,2,3,Not Placed,Not Ready
S061,Male,8,7.55,8,3,8,4,8,4,9,7,7,5,8,4,5,8,7,9,Yes,4,6,Not Placed,Not Ready
S062,Male,8,8.12,8,5,4,9,8,3,8,7,5,6,8,10,6,6,5,5,Yes,2,1,Not Placed,Not Ready
S063,Female,8,9.33,5,9,5,5,5,5,10,3,9,8,6,10,7,10,6,6,No,3,2,Not Placed,Not Ready
S064,Female,7,7.75,7,9,9,5,6,5,7,3,10,8,4,4,7,4,5,7,No,4,2,Not Placed,Not Ready
S065,Male,8,9.6,6,10,8,3,9,3,9,8,6,9,4,8,6,3,8,4,No,1,2,Not Placed,Not Ready
S066,Female,7,9.49,10,5,10,10,3,4,3,7,6,5,9,4,7,6,7,4,Yes,1,4,Not Placed,Not Ready
S067,Female,8,6.42,10,3,6,5,7,9,3,8,6,9,5,4,8,4,3,9,No,0,6,Not Placed,Not Ready
S068,Male,8,6.96,3,8,4,8,6,4,8,5,3,8,8,5,10,10,5,5,Yes,5,4,Not Placed,Not Ready
S069,Female,8,6.77,6,3,8,7,9,10,7,3,6,7,8,3,8,7,4,8,No,3,6,Not Placed,Not Ready
S070,Female,7,7.29,5,10,10,8,7,4,9,4,9,5,7,8,4,4,8,7,No,3,5,Not Placed,Not Ready
S071,Female,8,8.62,8,10,3,8,9,7,3,4,9,8,5,3,5,10,3,5,Yes,1,6,Not Placed,Not Ready
S072,Male,8,7.45,3,5,10,8,8,10,4,5,8,9,8,7,6,4,3,5,No,4,4,Not Placed,Not Ready
S073,Male,8,8.94,10,6,7,10,6,4,5,4,10,5,10,4,8,8,4,7,No,1,6,Not Placed,Not Ready
S074,Male,8,7.93,4,6,5,6,10,3,8,8,10,5,4,4,7,9,10,9,No,4,1,Not Placed,Not Ready
S075,Male,8,8.44,10,10,8,5,5,5,9,3,4,5,7,5,5,8,6,8,No,0,3,Not Placed,Not Ready
S076,Female,8,6.48,7,4,5,5,5,8,3,3,4,3,7,6,9,3,10,7,No,3,2,Not Placed,Not Ready
S077,Male,8,7.72,3,5,10,9,10,10,6,8,5,8,8,8,9,5,8,4,No,1,4,Not Placed,Not Ready
S078,Female,8,7.71,5,4,3,7,9,9,6,5,8,8,6,5,10,10,10,7,No,0,1,Not Placed,Not Ready
S079,Male,8,9.67,6,8,3,3,7,10,10,7,3,4,9,5,7,8,9,8,Yes,3,1,Placed,Ready
S080,Female,8,8.1,4,9,10,7,4,5,4,9,8,8,8,5,6,9,3,3,Yes,1,6,Not Placed,Not Ready
S081,Male,8,7.97,5,5,8,8,5,9,7,8,10,7,10,3,8,8,4,9,No,5,6,Not Placed,Not Ready
S082,Female,7,7.01,6,3,10,5,9,5,6,3,4,6,3,10,8,9,5,9,Yes,3,5,Not Placed,Not Ready
S083,Male,8,8.68,6,8,10,9,8,5,10,8,8,7,10,6,6,7,7,6,No,2,6,Not Placed,Not Ready
S084,Female,7,7.2,8,7,7,4,9,9,8,5,7,3,7,4,8,10,7,10,Yes,1,5,Placed,Ready
S085,Female,8,6.42,6,6,3,6,6,3,4,9,8,10,4,5,3,5,9,10,No,5,2,Not Placed,Not Ready
S086,Female,7,7.08,3,4,6,3,5,9,5,3,9,10,5,7,3,3,7,4,No,2,4,Not Placed,Not Ready
S087,Male,7,9.23,10,7,6,4,8,5,10,7,5,3,8,7,6,5,9,9,No,0,4,Not Placed,Not Ready
S088,Male,8,9.73,10,8,6,3,7,9,6,10,7,8,7,3,7,8,6,3,Yes,3,3,Not Placed,Not Ready
S089,Female,7,8.61,7,4,7,8,6,6,5,10,5,10,8,9,10,6,6,4,No,4,6,Not Placed,Not Ready
S090,Female,8,9.49,4,3,6,5,5,8,10,4,6,10,4,10,3,10,5,9,No,4,1,Not Placed,Not Ready
S091,Female,8,8.75,9,7,3,6,4,3,9,8,4,3,4,10,3,7,9,5,Yes,5,6,Not Placed,Not Ready
S092,Male,7,9.77,9,10,9,9,4,5,8,4,5,9,5,6,3,3,7,10,No,4,4,Not Placed,Not Ready
S093,Male,7,7.75,5,7,6,4,3,9,3,6,6,4,4,3,10,3,6,3,No,3,2,Not Placed,Not Ready
S094,Female,8,6.53,7,6,8,8,6,7,5,6,9,7,7,3,5,9,10,3,No,5,6,Not Placed,Not Ready
S095,Male,8,8.65,9,5,7,9,5,10,6,6,7,5,10,3,9,9,5,9,Yes,2,2,Placed,Ready
S096,Male,7,9.22,4,6,3,7,9,3,4,6,6,10,6,8,7,3,6,6,Yes,5,4,Not Placed,Not Ready
S097,Male,7,7.51,6,8,7,9,10,8,7,7,8,10,10,4,10,8,6,8,No,3,1,Not Placed,Not Ready
S098,Female,7,6.06,9,7,5,6,8,6,9,6,10,8,7,10,10,10,5,8,Yes,1,6,Not Placed,Not Ready
S099,Female,7,9.48,3,3,4,3,3,9,5,6,4,5,3,6,10,8,3,10,No,0,1,Not Placed,Not Ready
S100,Male,7,6.06,7,7,3,9,5,4,4,5,6,6,7,8,7,9,4,8,No,3,5,Not Placed,Not Ready
